ELD79 / Libya zone 11,2074,4159,18246,9001,9807,4499,8801,0,9102,8802,21,9102,8805,0.9999,9201,8806,200000,9001,8807,0,9001,,,,,,
ELD79 / Libya zone 12,2075,4159,18247,9001,9807,4499,8801,0,9102,8802,23,9102,8805,0.9999,9201,8806,200000,9001,8807,0,9001,,,,,,
ELD79 / Libya zone 13,2076,4159,18248,9001,9807,4499,8801,0,9102,8802,25,9102,8805,0.9999,9201,8806,200000,9001,8807,0,9001,,,,,,
ELD79 / UTM zone 32N,2077,4159,16032,9001,9807,4400,8801,0,9102,8802,9,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
ELD79 / UTM zone 33N,2078,4159,16033,9001,9807,4400,8801,0,9102,8802,15,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
ELD79 / UTM zone 34N,2079,4159,16034,9001,9807,4400,8801,0,9102,8802,21,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
ELD79 / UTM zone 35N,2080,4159,16035,9001,9807,4400,8801,0,9102,8802,27,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
Pampa del Castillo / Argentina 2,2082,4161,18032,9001,9807,4530,8801,-90,9102,8802,-69,9102,8805,1,9201,8806,2500000,9001,8807,0,9001,,,,,,
Hito XVIII 1963 / Argentina 2,2083,4254,18032,9001,9807,4530,8801,-90,9102,8802,-69,9102,8805,1,9201,8806,2500000,9001,8807,0,9001,,,,,,
Hito XVIII 1963 / UTM zone 19S,2084,4254,16119,9001,9807,4400,8801,0,9102,8802,-69,9102,8805,0.9996,9201,8806,500000,9001,8807,10000000,9001,,,,,,
NAD27 / Cuba Norte,2085,4267,18061,9001,9801,4532,8801,22.21,9110,8802,-81,9110,8805,0.99993602,9201,8806,500000,9001,8807,280296.016,9001,,,,,,
NAD27 / Cuba Sur,2086,4267,18062,9001,9801,4532,8801,20.43,9110,8802,-76.5,9110,8805,0.99994848,9201,8806,500000,9001,8807,229126.939,9001,,,,,,
ELD79 / TM 12 NE,2087,4159,16412,9001,9807,4400,8801,0,9102,8802,12,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
Carthage / TM 11 NE,2088,4223,16411,9001,9807,4400,8801,0,9102,8802,11,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
Yemen NGN96 / UTM zone 38N,2089,4163,16038,9001,9807,4400,8801,0,9102,8802,45,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
Yemen NGN96 / UTM zone 39N,2090,4163,16039,9001,9807,4400,8801,0,9102,8802,51,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
